Name,AGE,SOCIAL SECUIRTY,ALLERGIES,Doctor,Chickenpox (Varicella),Diphtheria.,Flu (Influenza),Hepatitis A.,Hepatitis B.,Hib (Haemophilus influenzae type b),HPV (Human Papillomavirus),Measles,Mumps,Shingles
Jack,11,151-87-4852,,Dr. Stanley,1,1,0,1,1,1,1,1,1,1
Lewis,40,442-54-7625,Latex,Dr. Austin,1,1,0,1,1,1,1,1,1,1
James,76,367-23-7098,Fish and shellfish Dust Mites,Dr. Armstrong,1,1,0,1,1,1,1,1,1,1
Logan,80,151-19-1845,Dust Mites Pollen,Dr. Moran,1,1,1,1,1,1,1,1,1,1
Daniel,60,141-40-0927,,Dr. Khan,1,1,1,1,1,1,1,1,1,1
Ryan,77,125-30-9170,Cow's milk Soy,Dr. Vas,0,0,0,0,0,0,0,0,0,0
Aaron,20,046-66-0809,Tree Nuts Mold Cow's milk,Dr. Keller,1,1,0,1,1,1,1,1,1,1
Oliver,63,160-65-1122,,Dr. Park,1,1,0,1,1,1,1,1,1,1
Liam,48,585-40-2956,Penicillin Dust Mites,Dr. Abbott,1,1,1,1,1,1,1,1,1,1
Jamie,75,985-03-7567,Latex,Dr. Austin,1,1,0,1,0,1,1,1,1,0
Ethan,32,008-51-3078,Pollen Tree Nuts Cow's milk,Dr. Strickland,1,1,0,1,1,1,1,1,1,1
Alexander,37,440-23-9434,Penicillin Dust Mites,Dr. Gibson,1,1,0,1,1,1,1,1,1,1
Cameron,57,673-95-9245,,Dr. Watson,1,1,0,1,1,1,1,1,1,1
Finlay,57,836-71-3940,,Dr. Elliott,1,1,1,1,1,1,1,1,1,1
Kyle,25,381-86-9363,Soy Pet Hair,Dr. Terry,1,1,1,1,1,1,1,1,1,1
Adam,56,970-34-9950,Fish and shellfish,Dr. Bush,1,1,0,1,1,1,1,1,1,1
Harry,15,324-54-5196,,Dr. Austin,1,1,0,1,1,1,1,1,1,1
Matthew,29,964-47-7101,Cow's milk,Dr. Moran,1,1,0,1,1,1,1,1,1,1
Callum,30,040-25-0721,Latex,Dr. Khan,1,1,1,1,1,1,1,1,1,1
Lucas,62,805-98-2851,Soy Fish and shellfish,Dr. Reynolds,1,1,0,1,0,1,1,1,1,0
Nathan,9,693-83-5783,Dust Mites Wheat Soy,Dr. Jimenez,1,1,1,1,1,1,1,1,1,1
Aiden,54,776-19-7374,Pet Hair Cow's milk,Dr. Hunt,1,1,1,1,1,1,1,1,1,1
Dylan,76,107-49-7823,,Dr. Armstrong,1,1,1,1,1,1,1,1,1,1
Charlie,27,226-08-4717,Soy,Dr. Flores,1,1,1,1,1,1,1,1,1,1
Connor,16,552-38-4824,Soy Pet Hair Wheat,Dr. Field,1,1,1,1,1,1,1,1,1,1
Thomas,48,695-58-3465,Pet Hair,Dr. Black,1,1,1,1,1,1,1,1,1,1
Alfie,51,977-72-9496,Penicillin Mold,Dr. Myers,1,1,1,1,1,1,1,1,1,1
Joshua,31,520-71-1554,,Dr. Fletcher,1,1,1,1,1,1,1,1,1,1
William,76,417-07-8933,Cow's milk,Dr. Rossi,1,1,0,1,1,1,1,1,1,1
Jayden,5,921-30-9815,Soy Wheat Pollen,Dr. Mcdonald,1,1,1,1,1,1,1,1,1,1
Andrew,35,422-32-1214,,Dr. Hunt,1,1,1,1,1,1,1,1,1,1
Kai,28,437-64-7631,,Dr. NicholsonDr. Brady,1,1,1,1,1,1,1,1,1,1
Max,5,780-73-4024,Wheat Pollen Dust Mites,Dr. Khan,1,1,0,1,1,1,1,1,1,1
Ben,35,741-00-7310,Tree Nuts Soy,Dr. Fuller,1,1,0,1,0,1,1,1,1,0
Samuel,64,477-91-3872,Tree Nuts,Dr. Waters,1,1,1,1,1,1,1,1,1,1
Luke,12,078-59-9706,Mold Dust Mites Soy,Dr. Atherton,1,1,1,1,1,1,1,1,1,1
Tyler,63,112-66-8918,,Dr. Thompson,1,1,0,1,1,1,1,1,1,1
Rory,30,654-20-0199,Mold,Dr. Reed,1,1,1,1,1,1,1,1,1,1
David,53,532-58-7787,Penicillin Pollen Wheat,Dr. Leonard,1,1,1,1,1,1,1,1,1,1
Michael,11,679-59-4660,Wheat Soy,Dr. Harmon,1,1,1,1,1,1,1,1,1,1
Riley,43,772-20-0620,Pollen Tree Nuts,Dr. Reed,1,1,0,1,1,1,1,1,1,1
Noah,51,982-37-2586,Wheat,Dr. Atherton,1,1,0,1,0,1,1,1,1,0
Cole,70,805-84-1295,,Dr. Patterson,1,1,1,1,1,1,1,1,1,1
Joseph,25,253-89-4030,,Dr. Field,1,1,0,1,1,1,1,1,1,1
John,19,599-40-5594,Wheat,Dr. Alvarado,1,1,1,1,1,1,1,1,1,1
Archie,58,709-80-7625,Cow's milk Wheat,Dr. uez,1,1,0,1,1,1,1,1,1,1
Jacob,76,312-35-4792,Latex Pet Hair Mold,Dr. Naylor,1,1,1,1,1,1,1,1,1,1
Fraser,45,006-67-2604,,Dr. Sherman,1,1,0,1,0,1,1,1,0,0
Rhys,56,223-57-1369,Dust Mites,Dr. Carlson,1,1,1,1,1,1,1,1,1,1
Ross,67,730-14-6809,,Dr. Vas,1,1,0,1,1,1,1,1,1,1
Calum,68,551-24-1516,Penicillin,Dr. Flores,1,1,1,1,1,1,1,1,1,1
Jay,56,746-86-8444,Dust Mites Soy Wheat,Dr. Garcia,1,1,0,1,1,1,1,1,1,1
Josh,65,819-36-0096,Latex Mold,Dr. Barrett,1,1,0,1,0,1,1,1,0,0
Euan,71,840-09-8536,Pollen Tree Nuts,Dr. Stanley,1,1,1,1,1,1,1,1,1,1
Mason,39,365-56-7384,Tree Nuts Latex Wheat,Dr. Austin,1,1,1,1,1,1,1,1,1,1
Owen,68,584-21-8567,,Dr. Graham,1,1,1,1,1,1,1,1,1,1
Sam,75,463-74-2602,,Dr. Thomas,1,1,0,1,1,1,1,1,1,1
Leo,52,498-79-4940,Mold Soy Fish and shellfish,Dr. Fletcher,1,1,1,1,1,1,1,1,1,1
Robert,58,224-50-8924,Cow's milk,Dr. Khan,1,1,0,1,0,1,1,1,0,0
Scott,47,984-93-2218,Pet Hair,Dr. Elliott,1,1,1,1,1,1,1,1,1,1
Leon,37,603-73-4527,Penicillin,Dr. Rossi,1,1,1,1,1,1,1,1,1,1
Robbie,38,447-78-6418,,Dr. Mckenna,1,1,1,1,1,1,1,1,1,1
Benjamin,56,306-45-8340,,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Caleb,51,386-07-0088,Wheat,Dr. Juarez,1,1,0,1,1,1,1,1,1,1
Oscar,51,011-16-9304,Dust Mites Penicillin,Dr. Reed,1,1,0,1,1,1,1,1,1,1
Harris,68,839-83-6232,Tree Nuts Wheat,Dr. Dean,1,1,0,1,1,1,1,1,1,1
Murray,52,478-27-8767,Latex Dust Mites,Dr. Jimenez,1,1,0,1,1,1,1,1,1,1
Sean,12,575-50-3421,,Dr. Peters,1,1,1,1,1,1,1,1,1,1
Christopher,7,609-01-4612,Latex Penicillin,Dr. Peters,1,1,1,1,1,1,1,1,1,1
Kieran,53,543-83-3996,Fish and shellfish,Dr. Khan,1,1,0,1,1,1,1,1,1,1
Aidan,35,932-03-4190,Cow's milk,Dr. NicholsonDr. Brady,1,1,1,1,1,1,1,1,1,1
Jake,73,154-19-1964,Soy Fish and shellfish Cow's milk,Dr. Vas,1,1,0,1,1,1,1,1,1,1
Evan,36,834-37-2664,Penicillin Latex Cow's milk,Dr. Garrett,1,1,0,1,0,1,1,1,1,0
Kayden,76,286-62-7622,Wheat Cow's milk Pollen,Dr. Watson,1,1,0,1,1,1,1,1,1,1
Arran,8,799-13-0547,,Dr. Abbott,1,1,1,1,1,1,1,1,1,1
Angus,39,694-19-2908,,Dr. Carey,1,1,0,1,1,1,1,1,1,1
Brodie,29,747-33-1897,Penicillin Dust Mites,Dr. Flores,1,1,1,1,1,1,1,1,1,1
Ewan,64,403-37-9982,Pet Hair Fish and shellfish,Dr. Alexander,1,1,0,1,1,1,1,1,1,1
Muhammad,43,973-18-4000,Tree Nuts,Dr. Moran,1,1,0,1,1,1,1,1,1,1
Alex,42,923-49-5581,Penicillin Cow's milk Wheat,Dr. Gibbs,1,1,1,1,1,1,1,1,1,1
Declan,40,306-99-8731,Wheat,Dr. Stevenson,1,1,1,1,1,1,1,1,1,1
Finn,79,603-57-6304,Mold Cow's milk,Dr. Patterson,1,1,1,1,1,1,1,1,1,1
Blair,28,415-04-6351,,Dr. Garcia,1,1,0,1,1,1,1,1,1,1
Ollie,15,556-35-2885,Latex Cow's milk Tree Nuts,Dr. Peterson,1,1,1,1,1,1,1,1,1,1
Reece,10,820-72-8768,Tree Nuts Pet Hair Latex,Dr. Parsons,1,1,0,1,1,1,1,1,1,1
Corey,53,594-22-8177,,Dr. Cunningham,1,1,0,1,1,1,1,1,1,1
Kian,72,742-20-4556,,Dr. Moran,1,1,0,1,1,1,1,1,1,1
Harrison,2,045-26-7410,Tree Nuts Pet Hair,Dr. Cunningham,1,1,0,1,0,1,1,0,0,0
Taylor,59,339-01-0939,Pet Hair,Dr. Figueroa,1,1,1,1,1,1,1,1,1,1
Kaiden,22,059-49-5646,,Dr. Wood,1,1,1,1,1,1,1,1,1,1
Kenzie,57,491-69-0131,,Dr. Alvarado,1,1,0,1,0,1,0,0,0,0
Cody,69,360-06-0554,,Dr. Flores,1,1,0,1,1,1,1,1,1,1
Craig,18,565-45-8729,Latex,Dr. Terry,1,1,0,1,1,1,1,1,1,1
Mohammed,76,016-79-5513,Mold Soy Latex,Dr. Barnett,1,1,0,1,0,1,0,0,0,0
Calvin,40,034-08-5435,Fish and shellfish,Dr. Figueroa,1,1,0,1,1,1,1,1,1,1
Mark,18,069-11-6797,,Dr. Alvarado,1,1,1,1,1,1,1,1,1,1
Jude,3,664-93-1771,,Dr. Finch,1,1,1,1,1,1,1,1,1,1
Luca,51,480-90-9654,Penicillin Soy Pet Hair,Dr. Thompson,1,1,1,1,1,1,1,1,1,1
Ciaran,46,064-54-8858,Dust Mites Latex,Dr. Alvarado,1,1,0,1,0,1,1,1,1,0
George,64,770-98-9522,Pet Hair,Dr. Juarez,1,1,0,1,1,1,1,1,1,1
Zak,50,635-74-0779,Cow's milk Fish and shellfish,Dr. Moran,1,1,0,1,1,1,1,1,1,1
Zac,12,349-46-2379,Pet Hair,Dr. Parsons,1,1,1,1,1,1,1,1,1,1
Charles,59,543-28-6599,Dust Mites Fish and shellfish Mold,Dr. Carlson,1,1,0,1,1,1,1,1,1,1
Gregor,28,140-80-0800,Pollen Mold Wheat,Dr. Armstrong,1,1,0,1,1,1,1,1,1,1
Hamish,73,615-88-7029,Fish and shellfish Pollen,Dr. Alvarado,1,1,1,1,1,1,1,1,1,1
Isaac,66,261-30-0637,Pollen,Dr. Jimenez,1,1,0,1,1,1,1,1,1,1
Harvey,25,244-08-3296,Dust Mites Penicillin,Dr. Gardner,1,1,1,1,1,1,1,1,1,1
Shay,35,999-22-0920,Fish and shellfish Wheat,Dr. Carey,1,1,1,1,1,1,1,1,1,1
Struan,68,879-16-7584,Pollen,Dr. Kaye,0,0,0,0,0,0,0,0,0,0
Lee,75,424-18-2794,Latex Cow's milk,Dr. Spencer,1,1,0,1,1,1,1,1,1,1
Steven,5,594-73-9591,,Dr. Armstrong,1,1,1,1,1,1,1,1,1,1
Joe,56,055-59-3713,,Dr. Atherton,1,1,0,1,1,1,1,1,1,1
Lennon,72,409-67-3478,Wheat,Dr. Fuller,1,1,0,1,0,1,1,0,0,0
Patrick,0,097-66-7024,Pet Hair Pollen Soy,Dr. Carey,1,1,1,1,1,1,1,1,1,1
Jason,59,432-97-2997,Fish and shellfish Latex,Dr. Hamilton,1,1,1,1,1,1,1,1,1,1
Louis,24,967-19-5209,Soy Pet Hair,Dr. Jones,1,1,0,1,1,1,1,1,1,1
Olly,30,219-01-6511,Pollen Fish and shellfish,Dr. Carlson,1,1,1,1,1,1,1,1,1,1
Bailey,47,367-77-5865,Wheat,Dr. Pham,1,1,0,1,0,1,1,1,1,0
Marcus,80,496-53-3393,Pollen Tree Nuts,Dr. Jones,1,1,0,1,1,1,1,1,1,1
Peter,64,836-76-0419,Tree Nuts,Dr. Abbott,1,1,0,1,0,1,1,1,0,0
Sebastian,19,666-24-4606,,Dr. Wise,1,1,1,1,1,1,1,1,1,1
Gabriel,47,054-12-7039,Tree Nuts Pet Hair,Dr. Sherman,1,1,1,1,1,1,1,1,1,1
Jackson,53,343-48-6944,Pet Hair Pollen Wheat,Dr. Alexander,1,1,0,1,1,1,1,1,1,1
Zack,1,165-56-7289,Tree Nuts,Dr. Williamson,1,1,1,1,1,1,1,1,1,1
Ashton,49,313-85-2744,Wheat Pollen Fish and shellfish,Dr. Thompson,1,1,0,1,0,1,0,0,0,0
Brandon,51,545-01-5706,Dust Mites Tree Nuts Soy,Dr. Brown,1,1,0,1,1,1,1,1,1,1
